name,product_type,description,monthly_sales
Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 24.,220
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 25.,135
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 26.,215
ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 27.,453
Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 28.,389
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 29.,483
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 30.,492
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 31.,106
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 32.,172
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 33.,72
University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 34.,159
Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 35.,122
Django Book Premium,Book,Web development with Django. Premium model – batch 36.,194
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 37.,425
USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 38.,124
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 39.,148
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 40.,28
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 41.,21
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 42.,454
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 43.,96
24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 44.,427
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 45.,131
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 46.,285
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 47.,374
Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 48.,375
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 49.,9
Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 50.,285
Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 51.,181
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 52.,282
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 53.,253
Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 54.,364
Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 55.,188
Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 56.,75
ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 57.,23
24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 58.,43
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 59.,410
Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 60.,448
Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 61.,369
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 62.,416
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 63.,288
Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 64.,80
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 65.,204
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 66.,418
Django Book Plus,Book,Web development with Django. Plus model – batch 67.,254
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 68.,371
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 69.,220
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 70.,107
Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 71.,391
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 72.,285
External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 73.,231
Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 74.,397
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 75.,217
Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 76.,417
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 77.,492
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 78.,247
Django Book Wireless,Book,Web development with Django. Wireless model – batch 79.,58
Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 80.,354
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 81.,406
Django Book Wireless,Book,Web development with Django. Wireless model – batch 82.,5
Django Book Advanced,Book,Web development with Django. Advanced model – batch 83.,440
Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 84.,264
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 85.,77
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 86.,480
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 87.,246
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 88.,477
Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 89.,222
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 90.,15
Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 91.,362
Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 92.,380
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 93.,122
Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 94.,480
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 95.,452
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 96.,264
Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 97.,456
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 98.,426
Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 99.,229
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 100.,377
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 101.,144
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 102.,372
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 103.,384
Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 104.,380
Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 105.,267
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 106.,142
Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 107.,178
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 108.,339
ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 109.,344
Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 110.,82
Django Book Advanced,Book,Web development with Django. Advanced model – batch 111.,217
Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 112.,20
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 113.,112
Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 114.,69
Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 115.,229
USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 116.,213
External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 117.,231
Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 118.,489
24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 119.,331
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 120.,253
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 121.,87
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 122.,370
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 123.,370
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 124.,336
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 125.,403
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 126.,133
Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 127.,175
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 128.,487
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 129.,258
University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 130.,350
Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 131.,467
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 132.,371
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 133.,80
USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 134.,253
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 135.,390
Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 136.,330
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 137.,329
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 138.,226
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 139.,465
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 140.,169
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 141.,71
Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 142.,28
Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 143.,60
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 144.,68
Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 145.,466
Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 146.,364
Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 147.,118
Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 148.,243
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 149.,45
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 150.,224
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 151.,258
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 152.,347
HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 153.,201
HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 154.,163
Django Book Wireless,Book,Web development with Django. Wireless model – batch 155.,123
HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 156.,65
Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 157.,264
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 158.,430
ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 159.,155
ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 160.,257
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 161.,153
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 162.,306
Laptop Stand USB-C,Accessories,Adjustable ergonomic laptop stand. USB-C model – batch 163.,118
USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 164.,355
Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 165.,472
Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 166.,403
Algorithms Book Plus,Book,Introduction to algorithms and programming logic. Plus model – batch 167.,250
Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 168.,65
USB Mouse Premium,Electronics,Wired USB mouse with high precision. Premium model – batch 169.,269
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 170.,251
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 171.,337
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 172.,7
Django Book Compact,Book,Web development with Django. Compact model – batch 173.,13
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 174.,95
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 175.,354
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 176.,98
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 177.,137
ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 178.,50
Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 179.,226
University Notebook USB-C,Stationery,Notebook with 200 pages. USB-C model – batch 180.,42
Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 181.,349
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 182.,222
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 183.,411
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 184.,447
Bluetooth Headphones Standard,Electronics,Wireless headphones with noise cancellation. Standard model – batch 185.,26
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 186.,7
Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 187.,476
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 188.,467
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 189.,255
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 190.,431
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 191.,136
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 192.,194
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 193.,108
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 194.,266
Laptop i5 Wireless,Electronics,Laptop with Intel i5 processor and SSD. Wireless model – batch 195.,314
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 196.,322
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 197.,71
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 198.,124
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 199.,317
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 200.,480
Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 201.,262
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 202.,420
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 203.,122
Django Book Pro,Book,Web development with Django. Pro model – batch 204.,167
Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 205.,158
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 206.,443
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 207.,117
Django Book Premium,Book,Web development with Django. Premium model – batch 208.,149
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 209.,294
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 210.,401
Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 211.,222
ATX Power Supply 600W Pro,Electronics,600W certified power supply. Pro model – batch 212.,247
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 213.,19
Django Book Standard,Book,Web development with Django. Standard model – batch 214.,23
Django Book Premium,Book,Web development with Django. Premium model – batch 215.,328
Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 216.,302
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 217.,416
Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 218.,227
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 219.,273
24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 220.,307
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 221.,409
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 222.,421
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 223.,481
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 224.,472
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 225.,202
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 226.,181
USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 227.,51
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 228.,443
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 229.,164
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 230.,376
Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 231.,253
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 232.,31
Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 233.,188
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 234.,492
External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 235.,42
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 236.,450
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 237.,289
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 238.,98
External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 239.,35
Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 240.,103
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 241.,477
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 242.,439
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 243.,330
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 244.,321
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 245.,116
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 246.,78
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 247.,396
Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 248.,398
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 249.,491
Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 250.,308
Django Book Premium,Book,Web development with Django. Premium model – batch 251.,294
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 252.,404
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 253.,257
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 254.,70
ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 255.,292
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 256.,380
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 257.,132
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 258.,191
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 259.,365
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 260.,459
Django Book Advanced,Book,Web development with Django. Advanced model – batch 261.,152
University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 262.,413
Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 263.,444
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 264.,329
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 265.,118
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 266.,118
HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 267.,59
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 268.,202
Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 269.,70
Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 270.,217
Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 271.,319
University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 272.,24
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 273.,384
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 274.,488
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 275.,215
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 276.,484
Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 277.,93
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 278.,186
Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 279.,38
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 280.,351
Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 281.,274
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 282.,310
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 283.,358
HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 284.,75
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 285.,7
Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 286.,221
USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 287.,430
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 288.,31
Django Book Standard,Book,Web development with Django. Standard model – batch 289.,480
Django Book Compact,Book,Web development with Django. Compact model – batch 290.,129
Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 291.,163
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 292.,187
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 293.,275
Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 294.,500
Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 295.,323
Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 296.,438
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 297.,7
Django Book Advanced,Book,Web development with Django. Advanced model – batch 298.,38
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 299.,209
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 300.,279
External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 301.,393
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 302.,384
Django Book Compact,Book,Web development with Django. Compact model – batch 303.,166
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 304.,227
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 305.,131
ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 306.,220
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 307.,265
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 308.,497
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 309.,360
Django Book Compact,Book,Web development with Django. Compact model – batch 310.,322
External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 311.,439
Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 312.,391
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 313.,497
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 314.,417
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 315.,421
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 316.,324
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 317.,180
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 318.,302
USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 319.,408
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 320.,149
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 321.,221
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 322.,188
